destination_port,duration,packet_count,byte_count,connection_rate,threat_label
63854,4,2,37,500000.0,BENIGN
53,58741,1,53,34.04776902,BENIGN
53,125354,1,50,15.95481596,BENIGN
53,72739,2,58,54.9911326799,BENIGN
443,117452533,18,1972,0.3320490329,BENIGN
53,4255154,4,168,1.880072966,BENIGN
443,4,2,12,500000.0,BENIGN
53,61197,1,52,32.6813405886,BENIGN
443,88,2,0,22727.2727272727,BENIGN
443,277022,12,3396,72.1964320523,BENIGN
57602,54,1,0,37037.03704,BENIGN
6077,222,2,0,9009.009009,BENIGN
53,23663,2,62,169.0402738,BENIGN
53,23350,1,45,85.65310493,BENIGN
49856,30,1,6,66666.6666666667,BENIGN
2526,145,1,0,13793.10345,BENIGN
123,94169,1,48,21.2384117916,BENIGN
49393,150,1,6,13333.3333333333,BENIGN
443,60621985,13,650,0.428887309,BENIGN
443,410,2,0,4878.04878,BENIGN
21,60,1,0,50000.0,BENIGN
443,1303515,11,936,16.11028642,BENIGN
443,264259,6,352,45.4099954968,BENIGN
443,116045332,20,1594,0.310223594,BENIGN
443,429206,8,348,30.28848618,BENIGN
41363,47396,2,0,42.19765381,BENIGN
80,36470,1,6,54.83959419,BENIGN
53,171,2,78,23391.8128654971,BENIGN
49879,56,1,6,35714.2857142857,BENIGN
42076,246,2,0,8130.081300813,BENIGN
53,210,2,94,19047.619047619,BENIGN
56542,36605,2,0,81.9560169376,BENIGN
53,30726,1,54,65.09145349,BENIGN
443,63188809,20,6827,0.648849071,BENIGN
80,119312886,19,957,0.301727678,BENIGN
123,94151,1,48,21.2424722,BENIGN
443,59,2,12,33898.30508,BENIGN
443,116986796,26,1574,0.461590554,BENIGN
53,24657,1,42,81.11286856,BENIGN
443,3423289,32,813,18.11123747,BENIGN
55176,122513,3,38,32.64959637,BENIGN
443,65299098,13,2034,0.398167828,BENIGN
53,50460860,2,81,0.079269358,BENIGN
53,57250079,2,105,0.069868899,BENIGN
53,116849,4,176,51.3483213378,BENIGN
53,30855,2,92,129.6386323124,BENIGN
55053,3,2,37,666666.666666667,BENIGN
443,339,2,0,5899.705015,BENIGN
53,240,2,70,16666.6666666667,BENIGN
1255,4,3,253,750000.0,BENIGN
53,88932,2,68,44.97818558,BENIGN
53,187,2,64,21390.3743315508,BENIGN
53,443,1,47,4514.672686,BENIGN
49791,220,1,0,9090.909091,BENIGN
443,240839,12,1248,74.7387258708,BENIGN
53,49787,1,62,40.17112901,BENIGN
443,117936935,19,1059,0.305247885,BENIGN
53,258,2,70,15503.87597,BENIGN
123,30075,1,48,66.5004156276,BENIGN
80,202274,6,667,49.43789118,BENIGN
443,118038098,24,1613,0.440535733,BENIGN
49751,54,1,6,37037.037037037,BENIGN
443,65492944,15,778,0.473333433,BENIGN
53,30767,1,55,65.0047128417,BENIGN
51377,91,1,0,21978.02198,BENIGN
50467,3,2,12,666666.666666667,BENIGN
443,4648305,5,135,1.2907930955,BENIGN
53,159,2,90,25157.2327,BENIGN
53,31211,2,70,128.1599436096,BENIGN
443,960,2,0,2083.3333333333,BENIGN
80,30048633,14,382,1.0316609078,BENIGN
51977,71,1,0,28169.014084507,BENIGN
443,52759,1,0,37.9082241892,BENIGN
52542,3,2,23,666666.6667,BENIGN
53,183,2,60,21857.9234972678,BENIGN
53,83332,2,70,48.0007680123,BENIGN
443,3,2,0,666666.6667,BENIGN
57858,111,1,0,18018.01802,BENIGN
53,80244,1,60,24.92398186,BENIGN
443,118241670,19,1028,0.321375705,BENIGN
53,59815,2,82,66.8728579788,BENIGN
53,1328289,2,54,3.011392852,BENIGN
443,7045655,11,786,2.5547660225,BENIGN
53,45876,2,68,87.191559857,BENIGN
53,59912,2,88,66.7645880625,BENIGN
53,30654,2,68,130.488680107,BENIGN
59722,4,3,18,750000.0,BENIGN
53,164212,2,68,24.3587557548,BENIGN
61389,230,2,0,8695.652174,BENIGN
53,197323,2,70,20.2713317758,BENIGN
61008,22684,15,18467,925.7626520896,BENIGN
50892,78,1,0,25641.0256410256,BENIGN
53,188,2,54,21276.59574,BENIGN
53,177,2,84,22598.87006,BENIGN
62918,3,2,37,666666.6667,BENIGN
443,99792,22,2126,481.000481,BENIGN
53,23693,2,170,168.8262356,BENIGN
56752,3,2,0,666666.666666667,BENIGN
53,301,2,76,13289.03654,BENIGN
443,755,2,37,2649.006623,BENIGN
54803,229,2,12,8733.624454,BENIGN
80,83,2,0,24096.38554,BENIGN
465,187,3,37,16042.78075,BENIGN
53,23352,1,44,85.645769099,BENIGN
53,61224,1,48,32.6669280021,BENIGN
53,193,2,80,20725.3886010363,BENIGN
443,117107166,234,16673,4.8844150152,BENIGN
443,5488418,9,925,3.644037316,BENIGN
48159,3,2,31,666666.666666667,BENIGN
53,83937545,3,164,0.071481719,BENIGN
42414,6111,5,354,1145.475372,BENIGN
53,198,2,68,20202.0202020202,BENIGN
443,5965248,10,358,2.849839604,BENIGN
443,191,3,18,20942.4083769633,BENIGN
80,59060,3,438,118.5235353877,BENIGN
53,189,2,132,21164.02116,BENIGN
50152,255,2,37,11764.7058823529,BENIGN
53,68082,2,94,58.75268059,BENIGN
53,180,2,132,22222.2222222222,BENIGN
443,118563941,72,4696,1.4844310885,BENIGN
443,10200608,8,761,1.764600698,BENIGN
53411,3184,3,43,942.2110552764,BENIGN
443,3,2,12,666666.666666667,BENIGN
443,9556954,2,12,0.2092716989,BENIGN
55857,58,1,0,34482.75862,BENIGN
443,6461427,11,928,3.2500560635,BENIGN
443,6007433,7,312,1.831064949,BENIGN
443,116004755,21,831,0.344813452,BENIGN
53,46951,1,46,42.597601755,BENIGN
80,23270,1,0,85.9475719811,BENIGN
53,30542,4,172,261.9343854364,BENIGN
35732,2,2,0,1000000.0,BENIGN
53,23813,2,68,167.9754755806,BENIGN
53,95878187,2,111,0.041719604,BENIGN
53862,3,2,12,666666.6667,BENIGN
443,103751,10,631,144.5769197,BENIGN
53,61581,2,72,64.9550997873,BENIGN
7428,48,2,0,41666.66667,BENIGN
80,1436820,2,12,1.3919628068,BENIGN
53,34915,2,66,114.5639409996,BENIGN
53,62026,2,58,64.4890852223,BENIGN
443,101553,5,1188,98.4707492639,BENIGN
50739,49,2,12,40816.3265306122,BENIGN
53,175,2,76,22857.14286,BENIGN
53,30971,2,92,129.1530786865,BENIGN
53,48627,1,48,41.1294137,BENIGN
53,23655,1,49,84.5487212,BENIGN
53,195,2,72,20512.8205128205,BENIGN
53,202,2,68,19801.9802,BENIGN
53,205,2,88,19512.1951219512,BENIGN
443,115753518,20,714,0.3110056664,BENIGN
53,31069,2,64,128.7456950658,BENIGN
53,339,2,82,11799.41003,BENIGN
53,71745,1,48,27.87650707,BENIGN
56484,57,1,0,35087.7193,BENIGN
53,30988,2,60,129.0822253776,BENIGN
53,30570,1,47,65.42361793,BENIGN
55557,4,3,37,750000.0,BENIGN
80,112,2,0,17857.14286,BENIGN
49989,20,1,6,100000.0,BENIGN
52482,20,1,6,100000.0,BENIGN
53,241,2,86,16597.510373444,BENIGN
443,117124640,34,4990,0.606191831,BENIGN
47084,65,1,0,30769.23077,BENIGN
443,197,3,18,20304.5685279188,BENIGN
443,10158560,7,1542,1.4765872328,BENIGN
53,30990,2,80,129.0738948048,BENIGN
49845,85,1,0,23529.41176,BENIGN
53,214,2,102,18691.5887850467,BENIGN
53,31184,2,70,128.270908158,BENIGN
53,72802,4,156,109.887091014,BENIGN
53,293,2,62,13651.8771331058,BENIGN
34554,3,2,12,666666.666666667,BENIGN
53,660632,1,56,3.0274040616,BENIGN
61538,56,1,0,35714.28571,BENIGN
37642,4,2,0,500000.0,BENIGN
53841,266,1,0,7518.796992,BENIGN
53,24499,2,60,163.2719703,BENIGN
62332,1389,2,0,2159.8272138229,BENIGN
53,198,2,102,20202.0202,BENIGN
80,131,2,0,15267.1755725191,BENIGN
56380,104423,2,12,28.72930293,BENIGN
443,1056769,8,320,14.19420895,BENIGN
53,31112,2,70,128.5677552,BENIGN
64277,113,1,6,17699.1150442478,BENIGN
80,181285,6,485,55.1617618667,BENIGN
443,118923878,80,17318,1.597660648,BENIGN
49502,77,1,0,25974.02597,BENIGN
58125,71,1,0,56338.0281690141,BENIGN
53,47245,4,136,126.9975659,BENIGN
53,253,2,56,15810.2766798419,BENIGN
49176,55,1,0,36363.63636,BENIGN
53,163385,1,55,12.241025798,BENIGN
53,501,1,50,3992.015968,BENIGN
80,109,2,12,18348.623853211,BENIGN
80,755105,300,768,1011.7798187007,BENIGN
53,60504,1,40,33.0556657411,BENIGN
53,30518,1,95,65.5350940429,BENIGN
443,68421018,17,1012,0.453077152,BENIGN
80,5751316,5,1629,1.564859243,BENIGN
53,151983,1,45,13.15936651,BENIGN
53222,3,2,31,666666.6667,BENIGN
53,231,2,90,17316.01732,BENIGN
53,266,2,94,15037.5939849624,BENIGN
53,180,2,46,22222.22222,BENIGN
